pincode,district,state
110001,New Delhi,Delhi
110002,Central,Delhi
110003,New Delhi,Delhi
110003,South,Delhi
110003,South East,Delhi
110004,New Delhi,Delhi
110005,Central,Delhi
110006,North,Delhi
110007,Central,Delhi
110007,North,Delhi
110007,North West,Delhi
110008,West,Delhi
110009,North,Delhi
110009,North West,Delhi
110010,New Delhi,Delhi
110011,New Delhi,Delhi
110012,West,Delhi
110013,South,Delhi
110013,South East,Delhi
110014,South,Delhi
110014,South East,Delhi
110015,West,Delhi
110016,South,Delhi
110017,South,Delhi
110018,West,Delhi
110019,South,Delhi
110019,South East,Delhi
110020,South,Delhi
110020,South East,Delhi
110021,New Delhi,Delhi
110022,New Delhi,Delhi
110023,New Delhi,Delhi
110024,South,Delhi
110024,South East,Delhi
110025,Budaun,Uttar Pradesh
110025,South,Delhi
110025,South East,Delhi
110026,West,Delhi
110027,West,Delhi
110028,New Delhi,Delhi
110029,South,Delhi
110030,South,Delhi
110031,East,Delhi
110031,Shahdara,Delhi
110032,Shahdara,Delhi
110033,North,Delhi
110034,North West,Delhi
110035,North West,Delhi
110036,North,Delhi
110037,New Delhi,Delhi
110038,New Delhi,Delhi
110039,North,Delhi
110039,North West,Delhi
110040,North,Delhi
110041,West,Delhi
110042,North,Delhi
110042,North West,Delhi
110043,West,Delhi
110044,South,Delhi
110044,South East,Delhi
110045,South West,Delhi
110046,New Delhi,Delhi
110047,South,Delhi
110048,South,Delhi
110048,South East,Delhi
110049,South,Delhi
110049,South East,Delhi
110051,East,Delhi
110051,Shahdara,Delhi
110052,North,Delhi
110052,North West,Delhi
110053,North East,Delhi
110054,Central,Delhi
110055,Central,Delhi
110055,West,Delhi
110056,North West,Delhi
110057,New Delhi,Delhi
110058,West,Delhi
110059,West,Delhi
110060,Central,Delhi
110061,New Delhi,Delhi
110061,South West,Delhi
110062,South,Delhi
110063,West,Delhi
110064,West,Delhi
110065,South,Delhi
110065,South East,Delhi
110066,New Delhi,Delhi
110067,New Delhi,Delhi
110068,South,Delhi
110069,New Delhi,Delhi
110070,New Delhi,Delhi
110071,South West,Delhi
110072,South West,Delhi
110073,South West,Delhi
110074,South,Delhi
110075,South West,Delhi
110076,South,Delhi
110077,New Delhi,Delhi
110077,South West,Delhi
110078,South West,Delhi
110080,South,Delhi
110081,North West,Delhi
110082,North,Delhi
110083,North West,Delhi
110084,Central,Delhi
110084,North,Delhi
110085,North West,Delhi
110086,North West,Delhi
110087,West,Delhi
110088,North,Delhi
